id,name,street,number,postal_code,district
1,Ana García Martínez,Calle de Alcalá,45,28014,Centro
2,Carlos López Fernández,Gran Vía,123,28013,Centro
3,María Rodríguez Sánchez,Calle de Serrano,89,28006,Salamanca
4,Juan Martínez Pérez,Paseo de la Castellana,201,28046,Chamartín
5,Laura González Ruiz,Calle de Bravo Murillo,156,28020,Tetuán
6,Pedro Sánchez García,Calle de Atocha,78,28012,Centro
7,Isabel Fernández López,Calle de Goya,34,28001,Salamanca
8,Miguel Díaz Martín,Calle de Fuencarral,92,28004,Centro
9,Carmen Ruiz Hernández,Avenida de América,67,28002,Salamanca
10,Antonio Jiménez Torres,Calle de Princesa,112,28008,Moncloa-Aravaca
11,Rosa Moreno Álvarez,Calle de Toledo,45,28005,Centro
12,Francisco Muñoz Romero,Calle de Arturo Soria,234,28043,Ciudad Lineal
13,Elena Álvarez Gómez,Calle de Orense,23,28020,Tetuán
14,José Romero Navarro,Calle de Bailén,56,28013,Centro
15,Lucía Navarro Domínguez,Paseo del Prado,12,28014,Centro
16,David Torres Gil,Calle de Velázquez,78,28001,Salamanca
17,Patricia Gil Vázquez,Calle de Embajadores,134,28045,Arganzuela
18,Javier Vázquez Ramos,Calle de Santa Engracia,89,28010,Chamberí
19,Cristina Ramos Castro,Calle de Génova,45,28004,Centro
20,Alberto Castro Ortiz,Calle de Hermosilla,67,28001,Salamanca
21,Marta Ortiz Rubio,Calle de Bravo Murillo,234,28020,Tetuán
22,Raúl Rubio Molina,Calle de Alberto Aguilera,123,28015,Chamberí
23,Silvia Molina Serrano,Calle de Méndez Álvaro,89,28045,Arganzuela
24,Daniel Serrano Blanco,Calle de Raimundo Fernández Villaverde,56,28003,Chamberí
25,Andrea Blanco Morales,Calle de Joaquín Costa,34,28002,Chamberí
26,Sergio Morales Iglesias,Calle de Cea Bermúdez,78,28003,Chamberí
27,Natalia Iglesias Delgado,Calle de Francisco Silvela,145,28028,Salamanca
28,Pablo Delgado Giménez,Calle de Ayala,92,28001,Salamanca
29,Beatriz Giménez Castro,Calle de Diego de León,67,28006,Salamanca
30,Adrián Castro Vargas,Calle de General Pardiñas,45,28001,Salamanca
31,Raquel Vargas Herrera,Calle de Núñez de Balboa,123,28006,Salamanca
32,Iván Herrera Medina,Calle de José Ortega y Gasset,56,28006,Salamanca
33,Mónica Medina Cortés,Calle de Príncipe de Vergara,234,28016,Salamanca
34,Óscar Cortés Pascual,Calle de María 
